ncessch,school_name,zip_mailing,city_location,state_location,school_level,enrollment,lowest_grade_offered,highest_grade_offered
340000406014,Chatham High School,07928,CHATHAM,NJ,3,1345.0,9.0,12.0
340000406015,Chatham Middle School,07928,CHATHAM,NJ,2,995.0,6.0,8.0
340000406016,Lafayette Avenue School,07928,CHATHAM,NJ,1,659.0,4.0,5.0
340000406017,Milton Avenue School,07928,CHATHAM,NJ,1,282.0,-1.0,3.0
340000406018,Washington Avenue School,07928,CHATHAM,NJ,1,328.0,-1.0,3.0
340000406019,Southern Boulevard School,07928,CHATHAM,NJ,1,434.0,-1.0,3.0
340000500817,Developmental Learning Center Warren,07059,WARREN,NJ,3,165.0,6.0,12.0
340000506063,Developmental Learning Center New Providence,07974,NEW PROVIDENCE,NJ,1,56.0,0.0,6.0
340000600695,Atlantic County Elementary and Middle Schools,08330,MAYS LANDING,NJ,1,196.0,-1.0,8.0
340000600697,Atlantic County High School,08330,MAYS LANDING,NJ,3,126.0,9.0,12.0
340000700081,Maywood Campus,07607,MAYWOOD,NJ,1,215.0,-1.0,5.0
340000700083,Moonachie Campus,07644,Moonachie,NJ,1,53.0,-1.0,8.0
340000700578,Lodi MS HS,07644,LODI,NJ,3,84.0,6.0,12.0
340000800107,Central Elementary School,07838,GREAT MEADOWS,NJ,1,290.0,-1.0,3.0
340000800109,Liberty Elementary School,07838,GREAT MEADOWS,NJ,-1,,,
340000800248,Great Meadows Regional Middle School,07838,GREAT MEADOWS,NJ,2,345.0,4.0,8.0
340000900176,Bernards High School,07924,Bernardsville,NJ,3,825.0,9.0,12.0
340000900177,Marion T. Bedwell Elementary School,07924,Bernardsville,NJ,1,566.0,-1.0,4.0
340000900178,Bernardsville Middle School,07924,Bernardsville,NJ,2,526.0,5.0,8.0
340001400258,Englewood on the Palisades Charter School,07631,ENGLEWOOD,NJ,1,324.0,0.0,8.0
340001500259,Teaneck Community Charter school,07666,TEANECK,NJ,1,333.0,0.0,8.0
340001900269,Chartertech High School for the Performing Arts,08244,SOMERS POINT,NJ,3,375.0,9.0,12.0
340002000282,Discovery Charter School,07102,NEWARK,NJ,2,112.0,4.0,8.0
340002100283,East Orange Community Charter School,07017,EAST ORANGE,NJ,1,470.0,0.0,5.0
340002200285,Marion P. Thomas Charter School,07103,NEWARK,NJ,4,1531.0,-1.0,12.0
340002300287,New Horizons Community Charter School,07103,NEWARK,NJ,1,547.0,0.0,8.0
340002400289,North Star Academy Charter School,07102,NEWARK,NJ,4,5921.0,0.0,12.0
340002500291,Robert Treat Academy Charter School,07104,NEWARK,NJ,1,688.0,0.0,8.0
340002600292,Maria Varisco Rogers Charter School,07104,NEWARK,NJ,1,573.0,0.0,8.0
340002900297,Elysian Charter School of Hoboken,07030,HOBOKEN,NJ,1,289.0,0.0,8.0
340003200302,Hoboken Charter School,07030,Hoboken,NJ,4,297.0,0.0,12.0
340003300303,Jersey City Community Charter School,07305,JERSEY CITY,NJ,1,591.0,0.0,8.0
340003400305,Jersey City Golden Door Charter School,07306,JERSEY CITY,NJ,1,593.0,-1.0,8.0
340003500307,Learning Community Charter School,07304,JERSEY CITY,NJ,1,635.0,-1.0,8.0
340003600309,Soaring Heights Charter School,07305,JERSEY CITY,NJ,1,267.0,0.0,8.0
340004100321,International Charter School,08611,TRENTON,NJ,1,90.0,0.0,4.0
340004200322,Pace Charter School of Hamilton,08619,HAMILTON TWP,NJ,1,378.0,0.0,8.0
340004300323,Princeton Charter School,08540,PRINCETON,NJ,1,423.0,0.0,8.0
340004600329,The Village Charter School,08638,TRENTON,NJ,1,358.0,0.0,8.0
340004700330,Greater Brunswick Charter School,08901,NEW BRUNSWICK,NJ,1,394.0,0.0,8.0
340004800335,Academy Charter High School,07719,LAKE COMO,NJ,3,183.0,9.0,12.0
340004900336,Red Bank Charter School,07701,RED BANK,NJ,1,195.0,-1.0,8.0
340005000021,Hunterdon County Vocational School District Central Campus,08822,FLEMINGTON,NJ,3,,9.0,12.0
340005000716,Hunterdon Polytech Bartles Corner Campus,08822,Flemington,NJ,3,3.0,9.0,12.0
340005003405,Hunterdon County Academies,08822,Annandale,NJ,3,213.0,9.0,12.0
340005100339,Unity Charter School,07960,MORRISTOWN,NJ,1,235.0,0.0,8.0
340005200351,Classical Academy Charter School of Clifton,07011,CLIFTON,NJ,2,167.0,6.0,8.0
340005500361,Sussex County Technology Charter School,07871,SPARTA,NJ,2,226.0,6.0,8.0
340006100378,The Queen City Academy Charter School,07063,PLAINFIELD,NJ,1,324.0,0.0,8.0
340006400373,The Gray Charter School,07102,NEWARK,NJ,1,344.0,0.0,8.0
340006900719,Developmental Learning Center,07712,Tinton Falls,NJ,4,52.0,-1.0,12.0
340007000529,TEAM Academy Charter School,07102,NEWARK,NJ,4,4781.0,0.0,12.0
340007300531,University Academy Charter High School,07305,JERSEY CITY,NJ,3,431.0,9.0,12.0
340007600483,Hope Academy Charter School,07712,ASBURY PARK,NJ,1,253.0,0.0,8.0
340007800487,Leap Academy University Charter School,08102,CAMDEN,NJ,4,1536.0,0.0,12.0
340007906129,Environment Community Opportunity (ECO) Charter School,08102,CAMDEN,NJ,1,202.0,0.0,8.0
340008000566,Freedom Prep Charter School,08104,CAMDEN,NJ,4,868.0,0.0,12.0
340008200569,Ridge and Valley Charter School,07825,Frelinghuysen,NJ,1,133.0,0.0,8.0
340008300573,Union County TEAMS Charter School,07060,PLAINFIELD,NJ,4,368.0,0.0,12.0
340008400575,University Heights Charter School,07103,NEWARK,NJ,1,895.0,-1.0,8.0
340008500694,Ancora Psychiatric Hospital,08037,ANCORA,NJ,3,1.0,11.0,12.0
340008500737,Ann Klein Forensic Center,08625,WEST TRENTON,NJ,-1,,,
340008500739,Camden Virtua,08104,CAMDEN,NJ,7,25.0,6.0,11.0
340008500740,Capital Academy,08060,MT HOLLY,NJ,-1,,,
340008500741,Atlantic Regional School,08401,EGG HARBOR,NJ,3,49.0,9.0,12.0
340008500743,Bergen Regional School,07652,PARAMUS,NJ,4,20.0,4.0,12.0
340008500744,Burlington Regional School,08060,MT HOLLY,NJ,3,23.0,9.0,12.0
340008500745,Cape May Regional School,08210,CAPE MAY COURT HOUSE,NJ,3,22.0,9.0,12.0
340008500746,Cherry Hill Regional School,08003,CHERRY HILL,NJ,4,28.0,2.0,12.0
340008500748,Cumberland Regional School,08360,VINELAND,NJ,3,12.0,7.0,12.0
340008500753,Greystone Park Psychiatric Hospital,07950,GREYSTONE PARK,NJ,-1,,,
340008500763,Monmouth Regional School,07712,OCEAN,NJ,3,27.0,10.0,12.0
340008500765,Morris Regional School,07960,MORRISTOWN,NJ,3,7.0,10.0,12.0
340008500767,Ocean Regional School,08753,TOMS RIVER,NJ,4,22.0,0.0,12.0
340008500771,Passaic Regional School,07512,TOTOWA,NJ,3,13.0,12.0,12.0
340008500775,Trenton Psychiatric Hospital,08625,TRENTON,NJ,-1,,,
340008500783,WARREN REGIONAL SCHOOL,07865,PORT MURRAY,NJ,3,10.0,10.0,12.0
340008503089,UMDNJ - CTR,08854,Piscataway,NJ,-1,,,
340008503315,UNION REGIONAL SCHOOL,07076,Scotch Plains,NJ,4,14.0,2.0,12.0
340008503316,ESSEX REGIONAL SCHOOL,07107,Newark,NJ,5,11.0,15.0,15.0
